"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;Размер;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;МРРЦ;Фото;Описание
Одеяло;Гостиница;"AlViTek (АльВиТек)";Россия;Стандарт;ОГП-О-15;140х205;Средняя;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";Бейка;Пакет;;;;;4607048007822;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"ОГП-О-15 Одеяло ""Гостиница"" 140х205 (мин.10шт)";1;813;1225;http://alvitek.com.ru/upload/iblock/8cf/8cf70c189886ce12f6f375ea98147c79.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г/кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м) , косая бейка, бирка, в пакете"
Плед;Эльф;Vladi;Украина;;Э-140-01-03;140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290007;;;;;"Тональность изделия может отличаться от фото";;;;;"70% овечья шерсть+30% ПЭ";"01-03 Бел/салат/зел 140х200 Эльф плед новозеланд. шерсть";7;1116;1500;http://alvitek.com.ru/upload/iblock/eb7/eb70d939713f5469b5a3aabf80c327e6.jpeg;
Плед;Эльф;Vladi;Украина;;"Э-170- 02-07";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290014;;;;;"Тональность изделия может отличаться от фото";;;;;"70% овечья шерсть+30% ПЭ";"02-07 Бел/красн/черн 170х210 Эльф плед новозеланд. шерсть";17;1352;1820;http://alvitek.com.ru/upload/iblock/959/9593e65ec479e9e7448d3c307b6d0910.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
Подушка;Сахара;"AlViTek (АльВиТек)";Россия;Традиция;ПМВ-070;68х68;;Средняя;;;;;;;"Верблюжья шерсть,пэ";"Искуственный ""Лебяжий пух""";;"100 гр/кв.м";"0,8 кг";Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048008416;;Кремовый;;;"Тональность изделия может отличаться от фото";;;1,2кг;;;"ПМВ-070 Подушка ""Сахара-Эко"" 68х68";34;454;685;http://alvitek.com.ru/upload/iblock/8b8/8b8692b6e4ae892aef570d6f61af9b53.jpeg;"подушка: стеганный чехол (наполнитель верблюжья шерсть 100 г/кв.м, ткань - микрофибра), наполнитель ""Лебяжий пух"" ( 1кг высокосиликонизированное микроволокно), кант атласный, бирка, постер, в сумке"
Покрывало;;Марианна;Россия;;П-ло-200-El-74;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000900103014;;;;;"Тональность изделия может отличаться от фото";;;;;;"74 200х220 ""Elegant"" ультрастеп Покрывало Марианна";5;446;640;http://alvitek.com.ru/upload/iblock/727/727a941e96dc26d153a39a1f58bbcbd9.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-20-141;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000785581020;;;;;"Тональность изделия может отличаться от фото";;;;;;"B-141 КПБ 2сп сатин ""САЙЛИД""";1;2464;3450;http://alvitek.com.ru/upload/iblock/0f3/0f3db458339ccea48279b551545d35f4.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-22-141;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000785581044;;;;;"Тональность изделия может отличаться от фото";;;;;;"B-141 КПБ евро сатин ""САЙЛИД""";2;2779;3895;http://alvitek.com.ru/upload/iblock/4cb/4cb2f2373aece824abb176da69e5fa21.jpeg;
Наматрасник;Полиуритан;"AlViTek (АльВиТек)";Россия;;МПУ-6-140;140х200;;Упругая;;;;;"6 см";Пенополиуритан;;;"18 кг/куб.м";;;Микрофибра;"100%  пэ";Молния;;;Резинка;;Кант;Пакет;;;;;4607048003268;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"МПУ-6-140 Наматрацник ""Полиуритан"" (140х200х6)";3;1585;2380;http://alvitek.com.ru/upload/iblock/fb5/fb529440451860aadde2828c1102a7e6.jpeg;"матрас полиуретановый, чехол - на молнии с резинками, ткань - микрофибра , наполнитель - полиэфир (вспененный полиуретан повышенной плотности), высота - 6см, бирка, упаковка - пленка ПЭ"
Одеяло;Холфит;"AlViTek (АльВиТек)";Россия;Комфорт;ОБТФН-О-15;140х205;Легкое;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048004289;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"ОБТФН-О-15  Одеяло 140х205 легкое";9;509;765;http://alvitek.com.ru/upload/iblock/dd8/dd87ac38d5f7b9af710e05061cfebf15.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г/кв.м), чехол -ПЭ, окантовка- бейка ПЭ, бирка, постер, в пакете с ручкой"
Наматрасник;Полиуритан;"AlViTek (АльВиТек)";Россия;;МПУ-6-80;80х200;;Упругая;;;;;"6 см";Пенополиуритан;;;"18 кг/куб.м";;;Микрофибра;"100%  пэ";Молния;;;Резинка;;Кант;Пакет;;;;;4607048003800;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"МПУ-6-080 Наматрацник ""Полиуритан"" (80х200х6)";6;976;1465;http://alvitek.com.ru/upload/iblock/4fa/4fa648d50d9409ec3741440fcb0ec525.jpeg;"матрас полиуретановый, чехол - на молнии с резинками, ткань - микрофибра , наполнитель - полиэфир (вспененный полиуретан повышенной плотности), высота - 6см, бирка, упаковка - пленка ПЭ"
