Артикул;Свободный остаток;Оптовая
rack/1;305;344;
21/013-CJ;3;7128;
41/001-CJ;15;9254;
41/002-CJ;11;9254;
41/003-CJ;12;9254;
41/004-CJ;8;9254;
41/005-CJ;13;9254;
41/006-CJ;9;9254;
41/007-CJ;13;9254;
41/008-CJ;13;9254;
41/009-CJ;7;9254;
41/010-CJ;12;9254;
41/011-CJ;2;9254;
41/012-CJ;6;9254;
41/017-CJ;2;9254;
41/018-CJ;3;9254;
41/022-CJ;1;9254;
31/001-CJ;16;7417;
31/002-CJ;17;7417;
31/003-CJ;4;7417;
31/004-CJ;9;7417;
31/005-CJ;11;7417;
31/006-CJ;10;7417;
31/008-CJ;8;7417;
31/011-CJ;4;7417;
31/012-CJ;6;7417;
31/013-CJ;29;7417;
31/014-CJ;23;7417;
31/015-CJ;16;7417;
31/016-CJ;11;7417;
31/017-CJ;6;7417;
31/018-CJ;14;7417;
31/022-CJ;7;7417;
31/001-OC;49;9696;
31/002-OC;47;9696;
31/003-OC;39;9696;
31/004-OC;39;9696;
31/005-OC;49;9696;
31/006-OC;63;9696;
41/001-RG;1;9498;
41/008-RG;1;9498;
41/013-RG;5;9498;
41/014-RG;2;9498;
41/023-RG;8;9498;
41/025-RG;1;9498;
41/028-RG;17;9498;
21/091-SG;3;6614;
21/107-SG;2;6614;
21/124-SG;4;6614;
21/125-SG;1;6614;
41/092-SG;23;8460;
41/111-SG;1;8460;
41/124-SG;1;8460;
41/126-SG;28;8460;
41/129-SG;23;8460;
41/137-SG;10;8460;
41/138-SG;1;8460;
41/139-SG;36;8460;
41/145-SG;19;8460;
31/091-SG;1;6994;
31/092-SG;2;6994;
31/107-SG;1;6994;
31/111-SG;2;6994;
21/023-SC;1;8324;
21/026-SC;18;8324;
41/013-SC;4;10655;
41/021-SC;8;10655;
41/022-SC;15;10655;
41/023-SC;3;10655;
41/025-SC;5;10655;
41/026-SC;43;10655;
41/027-SC;31;10655;
31/021-SC;13;8823;
31/022-SC;63;8823;
31/023-SC;48;8823;
31/024-SC;8;8823;
31/025-SC;10;8823;
31/026-SC;167;8823;
31/027-SC;138;8823;
31/013-TJ;1;4929;
21/011-CM;100;4236;
21/012-CM;200;4236;
21/013-CM;100;4236;
21/014-CM;100;4236;
21/015-CM;200;4236;
21/016-CM;150;4236;
21/017-CM;150;4236;
21/018-CM;150;4236;
21/019-CM;200;4236;
21/020-CM;150;4236;
41/011-CM;100;5437;
41/012-CM;100;5437;
41/013-CM;50;5437;
41/014-CM;100;5437;
41/015-CM;150;5437;
41/016-CM;150;5437;
41/017-CM;150;5437;
41/018-CM;100;5437;
41/019-CM;100;5437;
41/020-CM;100;5437;
31/011-CM;100;4535;
31/012-CM;200;4535;
31/013-CM;100;4535;
31/014-CM;100;4535;
31/015-CM;200;4535;
31/016-CM;150;4535;
31/017-CM;150;4535;
31/018-CM;150;4535;
31/019-CM;200;4535;
31/020-CM;150;4535;
15/006-CM;1;4187;
15/011-CM;150;4187;
15/012-CM;100;4187;
15/013-CM;50;4187;
15/014-CM;100;4187;
15/015-CM;100;4187;
15/016-CM;100;4187;
15/017-CM;100;4187;
15/018-CM;100;4187;
15/019-CM;120;4187;
15/020-CM;80;4187;
20/026-AC;118;1320;
20/027-AC;1;1320;
20/029-AC;1;1320;
20/030-AC;5;1320;
20/032-AC;14;1320;
20/034-AC;64;1320;
20/035-AC;5;1320;
20/036-AC;23;1320;
20/037-AC;43;1320;
20/040-AC;17;1320;
20/042-AC;11;1320;
20/044-AC;48;1320;
20/045-AC;17;1320;
20/047-AC;4;1320;
20/048-AC;2;1320;
20/049-AC;1;1320;
20/051-AC;2;1320;
20/054-AC;10;1320;
20/056-AC;26;1320;
20/058-AC;7;1320;
20/062-AC;5;1320;
20/063-AC;6;1320;
20/065-AC;25;1320;
20/070-AC;19;1320;
20/071-AC;25;1320;
20/074-AC;20;1320;
20/075-AC;30;1320;
20/076-AC;20;1320;
20/077-AC;5;1320;
20/078-AC;5;1320;
20/079-AC;22;1320;
20/082-AC;24;1320;
20/083-AC;19;1320;
20/084-AC;26;1320;
20/085-AC;20;1320;
20/089-AC;31;1320;
20/090-AC;38;1320;
20/092-AC;53;1320;
20/094-AC;2;1320;
20/095-AC;59;1320;
20/097-AC;26;1320;
20/100-AC;130;875;
20/101-AC;38;875;
20/254-AC;1;1320;
20/264-AC;18;1320;
20/275-AC;17;1320;
20/277-AC;35;1320;
41/026-AC;44;2010;
41/027-AC;1;2010;
41/031-AC;2;2010;
41/032-AC;7;2010;
41/034-AC;35;2010;
41/035-AC;30;2010;
41/036-AC;4;2010;
41/037-AC;23;2010;
41/040-AC;8;2010;
41/041-AC;2;2010;
41/042-AC;6;2010;
41/044-AC;73;2010;
41/046-AC;5;2010;
41/047-AC;29;2010;
41/048-AC;3;2010;
41/049-AC;2;2010;
41/050-AC;4;2010;
41/051-AC;1;2010;
41/052-AC;1;2010;
41/053-AC;4;2010;
41/054-AC;3;2010;
41/055-AC;17;2010;
41/056-AC;8;2010;
41/058-AC;3;2010;
41/062-AC;7;2010;
41/063-AC;2;2010;
41/064-AC;1;2010;
41/065-AC;2;2010;
41/067-AC;2;2010;
41/070-AC;22;2010;
41/071-AC;22;2010;
41/074-AC;20;2010;
