sku,title,desc,quantity,cost-price,price,image,col,vendor,country,line,SV_razmer,teplota,podderjka,razm_nav,razm_podod,razmer_prostini,tip_prostini,visota,napolnitel,napolnitel_chehla,napolnitel_yadra,ves_napolnitel,ves_nopolnitel_chehla,ves_napolnitel_yadra,tkan,sostav_tkan,tip_zast,tip_zast_navol,tip_zast_podod,tip_krepl,tip_stejki,okantovka,upak,tip_upak,kol_upak,material,plotnost,barcode,SV_cvet,tkan_verh,tkan_niz,sostav,Kornevai
Метеор -11001,11001 PIETRA LAVANTA В  (40х60)х3шт в коробке Набор кухонный Метеор,"",1,441.0,661.5,http://alvitek.com.ru/upload/iblock/0d5/0d5138083679d92c2fbcf258af5d78e0.jpeg,"",Метеор Текстиль,Турция,"",40х60,"","","","","","","","","","","","","",Вафля,100% хлопок,"","","","","","",Коробка,"",3 шт.,"","",2000925592336,"","","","",Alvitek
Метеор -11002,11002 PIETRA ZEYITIN В  (40х60)х3шт в коробке Набор кухонный Метеор,"",5,380.0,570.0,http://alvitek.com.ru/upload/iblock/eab/eabf6548cd305017bbe3631c46e63399.jpeg,"",Метеор Текстиль,Турция,"",40х60,"","","","","","","","","","","","","",Вафля,100% хлопок,"","","","","","",Коробка,"",3 шт.,"","",2000925592350,"","","","",Alvitek
Метеор -11003,11003 PIETRA MEYVE В  (40х60)х3шт в коробке Набор кухонный Метеор,"",1,347.0,520.5,http://alvitek.com.ru/upload/iblock/5fc/5fcc718ad250d9cca3d20fc501f788a7.jpeg,"",Метеор Текстиль,Турция,"",40х60,"","","","","","","","","","","","","",Вафля,100% хлопок,"","","","","","",Коробка,"",3 шт.,"","",2000925592343,"","","","",Alvitek
Метеор -9642,9642 КОФЕ МВ  (30х50)х2шт в коробке Набор кухонный Метеор,"",1,249.0,373.5,http://alvitek.com.ru/upload/iblock/550/5508ef908fc66f1d41db0629c3075bae.jpeg,"",Метеор Текстиль,Турция,"",30х50,"","","","","","","","","","","","","",Махра-Вафля,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925539072,"","","","",Alvitek
MERZUKA-9807-серый,9807 Серый  BOSS махра (50х90+70х130 ) в коробке Набор полотенец MERZUKA,"",3,798.0,1197.0,http://alvitek.com.ru/upload/iblock/634/6349860a77e87e7506bb8cff6fbcaf59.jpeg,"",MERZUKA,Турция,"",50х80+70х130,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925544410,"","","","",Alvitek
MERZUKA-9807- синий,9807 Синий  BOSS махра (50х90+70х130 ) в коробке Набор полотенец MERZUKA,"",1,798.0,1197.0,http://alvitek.com.ru/upload/iblock/6f0/6f0af87c0cdfdc61a459aaab570847ab.jpeg,"",MERZUKA,Турция,"",50х80+70х130,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925544427,"","","","",Alvitek
MERZUKA-9807-т. гол,9807 Темно-голубой  BOSS махра (50х90+70х130 ) в коробке Набор полотенец MERZUKA,"",1,798.0,1197.0,http://alvitek.com.ru/upload/iblock/55a/55a171b320062effc558d957687dd83c.jpeg,"",MERZUKA,Турция,"",50х80+70х130,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925544434,"","","","",Alvitek
Al-SOFT PLUSH-150/018-sp,150/018-sp SOFT PLUSH 150х200 акриловая микрофибра Плед  AlViTek,"",7,1279.0,1918.5,http://alvitek.com.ru/upload/iblock/104/104a884a2d6b025c62c02e3167d847fd.jpeg,"",AlViTek (АльВиТек),Россия,"",150х200,"","","","","","","","","","","","","",Велсофт,"","","","","","","",Сумка с металлическим каркасом,"","","",320г/м,2000925577487,"","","",100% микрофибра,Alvitek
TWO DOLPHINS-8560,8560 AKNA  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS,"",1,2593.0,3889.5,http://alvitek.com.ru/upload/iblock/db6/db65efeaed1a42fc32d99adf0a035a7a.jpeg,"",TWO DOLPHINS,Турция,"",70х140,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Прямоугольная ПВХ на молнии,"",6 шт.,"",480г/м,2000925566566,"","","","",Alvitek
Э-Б5-семья-Нежность,"Нежность КПБ Семья (5) ""Экзотика"" Поплин","",1,1794.0,2691.0,http://alvitek.com.ru/upload/iblock/1a8/1a8164b4df3b28b23a9c8e4c2456b3e6.jpeg,"",Экзотика,Россия,"",Семейное (2 пододеяльника),"","",70х70 (2шт.),143х215-2шт.,215х240,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925515717,"","","","",Alvitek
ПОК-66/15,"ПОК-66/15 Покрывало ""Гобелен"" 143х205",покрывало гобелен,11,434.0,651.0,http://alvitek.com.ru/upload/iblock/e76/e762d2c8839dcdc280812799b88d0168.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",143х205,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592626,"","","","",Alvitek
ПОК-67/15,"ПОК-67/15 Покрывало ""Гобелен"" 143х205",покрывало гобелен,1,478.0,717.0,http://alvitek.com.ru/upload/iblock/022/0227e6ce70df568bcaf08f9461215fa5.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",143х205,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592633,"","","","",Alvitek
ПОК-68/15,"ПОК-68/15 Покрывало ""Гобелен"" 143х205",покрывало гобелен,2,419.0,628.5,http://alvitek.com.ru/upload/iblock/781/7819a03ec2fd8eb718170d721b5250d7.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",143х205,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592640,"","","","",Alvitek
