sku,title,sdesc,desc,quantity,cost-price,price,image,sostav,Strana,Proizvoditel,Kornevai
CS-1,"Одеяло шёлковое 145х205 см в хлопке, CS-1 ","CS-1 Одеяло шелковое, чехол хлопок (145х205)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% хлопок), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 750 гр, общий вес - 1550 гр</p>

<p>Размер 145х205 см</p>

<p>Цвет - белый</p>",10,6281.0,10054.0,http://asabella-life.ru/image/cache/data/06.2108/CS-site-1000x750.jpg,"наполнитель 100% натур. шелк, чехол 100% хлопок - люкс-сатин",Италия,Asabella,Asabella
CS-2,"Одеяло шёлковое 172х205 см в хлопке, CS-2 ","CS-2 Одеяла шелковые, чехол хлопок (172х205)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% хлопок), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 900 гр, общий вес - 1840 гр</p>

<p>Размер 172х205 см</p>

<p>Цвет - белый</p>",10,6996.0,11198.0,http://asabella-life.ru/image/cache/data/06.2108/CS-site-1000x750.jpg,"наполнитель 100% натур. шелк, чехол 100% хлопок - люкс-сатин",Италия,Asabella,Asabella
CS-3,"Одеяло шёлковое 200х220 см в хлопке, CS-3 ","CS-3 Одеяло шелковое, чехол хлопок (200х220)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% хлопок), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 1100 гр, общий вес - 2250 гр</p>

<p>Размер 200х220 см</p>

<p>Цвет - белый</p>",10,8404.0,13442.0,http://asabella-life.ru/image/cache/data/06.2108/CS-site-1000x750.jpg,"наполнитель 100% натур. шелк, чехол 100% хлопок - люкс-сатин",Италия,Asabella,Asabella
CS-3Z,"Одеяло шёлковое 200х220 см в хлопке ЗИМНЕЕ, CS-3Z","CS-3Z Одеяло шелковое зим.,чехол хлопок (200х220)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% хлопок), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 1600 гр, общий вес - 2850 гр</p>

<p>Размер 200х220 см, ЗИМНЕЕ</p>

<p>Цвет - белый</p>",10,10241.0,16390.0,http://asabella-life.ru/image/cache/data/06.2108/CS-site-1000x750.jpg,"наполнитель 100% натур. шелк, чехол 100% хлопок - люкс-сатин",Италия,Asabella,Asabella
CS-5,"Одеяло шёлковое 155х215 см в хлопке, CS-5 ","CS-5 Одеяло шелковое, чехол хлопок (155х215)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% хлопок), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 850 гр, общий вес - 1750 гр</p>

<p>Размер 155х215 см</p>

<p>Цвет - белый</p>",10,6567.0,10505.0,http://asabella-life.ru/image/cache/data/06.2108/CS-site-1000x750.jpg,"наполнитель 100% натур. шелк, чехол 100% хлопок - люкс-сатин",Италия,Asabella,Asabella
CS-6,"Одеяло шёлковое 220х240 см в хлопке, CS-6 ","CS-6 Одеяло шелковое, чехол хлопок (220х240)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% хлопок), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 1320 гр, общий вес - 2740 гр</p>

<p>Размер 220х240 см</p>

<p>Цвет - белый</p>",10,9537.0,15257.0,http://asabella-life.ru/image/cache/data/06.2108/CS-site-1000x750.jpg,"наполнитель 100% натур. шелк, чехол 100% хлопок - люкс-сатин",Италия,Asabella,Asabella
CS-7,"Одеяло шёлковое 160х220 см в хлопке, CS-7","CS-7 Одеяло шелковое, чехол хлопок (160х220)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% хлопок), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 880 гр, общий вес - 1800 гр</p>

<p>Размер 160х220 см</p>

<p>Цвет - белый</p>",10,6853.0,10967.0,http://asabella-life.ru/image/cache/data/06.2108/CS-site-1000x750.jpg,"наполнитель 100% натур. шелк, чехол 100% хлопок - люкс-сатин",Италия,Asabella,Asabella
S-1,"Одеяло шёлковое 145х205 см в шёлке, S-1","S-1 Одеяло шелковое, чехол шелк (145х205)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% натуральный шелк), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 750 гр, общий вес - 1180 гр</p>

<p>Размер 145х205 см</p>

<p>Цвет - жемчужный</p>",10,11649.0,18645.0,http://asabella-life.ru/image/cache/data/06.2108/S-1000x750.jpg,100% натуральный шелк,Италия,Asabella,Asabella
S-3,"Одеяло шёлковое 200х220 см в шёлке, S-3","S-3 Одеяло шелковое, чехол шелк (200х220)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% натуральный шелк), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 1100 гр, общий вес - 1750 гр</p>

<p>Размер 200х220 см</p>

<p>Цвет - жемчужный</p>",10,16247.0,25993.0,http://asabella-life.ru/image/cache/data/06.2108/S-1000x750.jpg,100% натуральный шелк,Италия,Asabella,Asabella
S-7,"Одеяло шёлковое 160х220 см в шёлке, S-7 ","S-7 Одеяло шелковое, чехол шелк (160х220)","<p>Природа ещё не создавала столь уникального волокна, каковым является шёлк! Побалуйте себя по-настоящему шикарными одеялами, достойными императорской постели!</p>

<p>Для изготовления шелковых одеял используют нити тутового шелкопряда, вручную укладывая их в однородную массу. Одеяло получается очень мягким, легким и износостойким. Обладает уникальными свойствами абсорбировать влагу и регулировать температуру тела благодаря хорошей циркуляции воздуха. Абсолютно безопасно для людей, страдающих от аллергии и астмы.</p>

<p>Чехол - жаккардовый люкс-сатин (100% натуральный шелк), наполнитель - 100% натуральный шелк</p>

<p>Вес наполнителя - 880 гр, общий вес - 1410 гр</p>

<p>Размер 160х220 см</p>

<p>Цвет - жемчужный</p>",10,14476.0,23166.0,http://asabella-life.ru/image/cache/data/06.2108/S-1000x750.jpg,100% натуральный шелк,Италия,Asabella,Asabella
